id,headline,url,source,label
01f542ea47cfc554,"Ibom Air denies monopoly over Uyo airport, says it lacks authority",https://nairametrics.com/2026/08/31/ibom-air-denies-monopoly-over-uyo-airport-says-it-lacks-authority/,nairametrics,1
0208a007748ed4ad,Benue Boils: No state is a no-go area; Amnesty International slams blockade of Obi,https://businessday.ng/news/article/benue-boils-no-state-is-a-no-go-area-amnesty-international-slams-blockade-of-obi/,businessday,1
02c4f32309416620,"Top 10 property developers in Nigeria in 2026 based on completed portfolios, scale of delivery",https://nairametrics.com/2026/09/08/top-10-property-developers-in-nigeria-in-2026-based-on-completed-portfolios-scale-of-delivery/,nairametrics,1
047005133ff7ae32,Top 10 busiest airports in Africa in September 2026,https://nairametrics.com/2026/09/15/top-10-busiest-airports-in-africa-in-september-2026/,nairametrics,1
0580cd94215dd5f9,"NNPCL urged to restart government refineries as petrol prices hit N1,500 – Expert",https://nairametrics.com/2026/09/17/nnpcl-urged-to-restart-government-refineries-as-petrol-prices-hit-n1500-expert/,nairametrics,0
05e78c93907ced88,"Lagos developers lament rising costs, warn buyers and tenants will pay more",https://nairametrics.com/2026/08/27/lagos-developers-lament-rising-costs-warn-buyers-and-tenants-will-pay-more/,nairametrics,0
0653e921a3b4bced,Naira gains N13 as weekly FX turnover falls by $1.05 billion,https://nairametrics.com/2026/09/05/naira-gains-n13-as-weekly-fx-turnover-falls-by-1-05-billion/,nairametrics,2
07e1e62a07e4615d,NGX ETFs retreat in August as SIAML Pension ETF 40 leads losses with 43.86% decline,https://nairametrics.com/2026/09/04/ngx-etfs-retreat-in-august-as-siaml-pension-etf-40-leads-losses-with-43-86-decline/,nairametrics,0
09367e7c4ac639a1,CBN says MPR reset due to disconnect with market rates,https://nairametrics.com/2026/09/22/cbn-says-mpr-reset-due-to-disconnect-with-market-rates/,nairametrics,1
09b3db00fca36a60,Warren Buffett steps down as Berkshire Hathaway chairman after 60 years,https://nairametrics.com/2026/09/19/warren-buffett-steps-down-as-berkshire-hathaway-chairman-after-60-years/,nairametrics,1
09e76d9c155b4cae,"NIMC denies NIN data breach claims, orders investigation",https://nairametrics.com/2026/09/23/nimc-denies-nin-data-breach-claims-orders-investigation/,nairametrics,1
0a46decb505d575a,Lagos shortlet boom puts operators under pressure as supply keeps rising,https://nairametrics.com/2026/09/01/lagos-shortlet-boom-puts-operators-under-pressure-as-supply-keeps-rising/,nairametrics,1
